"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Sisters Of Charity Hospital","Buffalo","New York","Private","2","Same","Above","Below","Same","Same","Below","Same","24570","Average","Average","15863","Average","Average","18052","Average","Average","22042","Average","Average"
"Adirondack Medical Center","Saranac Lake","New York","Unknown","4","Same","Above","Same","Above","Same","Same","Same","21643","Average","Average","14657","Average","Lower","15900","Average","Average","20171","Average","Lower"
"Lincoln Medical & Mental Health Center","Bronx","New York","Government","1","Same","Below","Below","Below","Below","Below","None","23098","Average","Average","15922","Average","Average","20947","Average","Higher","0","Unknown","Unknown"
"Alice Hyde Medical Center","Malone","New York","Unknown","1","Same","Below","Same","Below","Same","Above","Same","22623","Average","Average","13374","Average","Lower","16355","Average","Average","19523","Average","Lower"
"Aurelia Osborn Fox Memorial Hospital","Oneonta","New York","Private","3","Same","Same","Above","Same","Same","Below","Same","20934","Average","Lower","13054","Average","Lower","14069","Average","Lower","22563","Average","Average"
"Montefiore Mount Vernon Hospital","Mount Vernon","New York","Private","1","Same","None","Below","Below","Same","Below","None","0","Unknown","Unknown","17463","Average","Average","19189","Average","Average","0","Unknown","Unknown"
"Eastern Long Island Hospital","Greenport","New York","Private","3","Same","None","Above","Same","Same","Same","Below","0","Unknown","Unknown","16362","Average","Average","17370","Average","Average","0","Unknown","Unknown"
"Arnot Ogden Medical Center","Elmira","New York","Private","2","Same","Below","Below","Below","Same","Below","Same","23224","Average","Average","15735","Average","Average","16975","Average","Average","20072","Average","Lower"
"Columbia Memorial Hospital","Hudson","New York","Private","2","Same","Below","Below","Below","Same","Below","Same","22771","Average","Average","15808","Average","Average","16298","Average","Lower","20994","Average","Average"
"Jones Memorial Hospital","Wellsville","New York","Private","2","Below","None","Same","Below","Same","Same","Same","0","Unknown","Unknown","15297","Average","Average","15610","Average","Lower","0","Unknown","Unknown"
"N Y Eye And Ear Infirmary","New York","New York","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"New York-presbyterian Hospital","New York","New York","Private","3","Above","Below","Below","Same","Same","Below","Below","24751","Better","Average","18175","Better","Higher","16921","Better","Lower","23499","Average","Higher"
"Kenmore Mercy Hospital","Kenmore","New York","Church","4","Same","Above","Above","Same","Same","Below","Same","23342","Average","Average","16022","Average","Average","17668","Average","Average","21438","Average","Average"
"Olean General Hospital","Olean","New York","Proprietary","3","Same","Above","Above","Below","Same","Below","Below","25355","Average","Average","16750","Average","Average","17282","Average","Average","22874","Average","Average"
"Nyack Hospital","Nyack","New York","Unknown","2","Above","Above","Below","Below","Same","Below","Above","26887","Average","Higher","20653","Average","Higher","19826","Average","Higher","22626","Average","Average"
"North Shore University Hospital","Manhasset","New York","Private","2","Above","Below","Below","Same","Same","Below","Below","25198","Average","Higher","18385","Better","Higher","17702","Better","Average","23597","Average","Higher"
"Peconic Bay Medical Center","Riverhead","New York","Private","1","Same","Above","Below","Below","Same","Below","Same","25338","Average","Average","19882","Average","Higher","16846","Average","Average","22010","Average","Average"
"St Joseph's Hospital, Inc","Elmira","New York","Private","3","None","None","Above","None","Same","Below","None","0","Unknown","Unknown","0","Unknown","Unknown","15351","Average","Lower","0","Unknown","Unknown"
"Bertrand Chaffee Hospital","Springville","New York","Private","2","Same","None","Below","Below","Same","Above","None","0","Unknown","Unknown","15623","Average","Average","16991","Average","Average","0","Unknown","Unknown"
"Oneida Health Hospital","Oneida","New York","Unknown","3","Below","Same","Above","Above","Same","Same","Same","0","Unknown","Unknown","14248","Worse","Lower","14302","Average","Lower","22459","Average","Average"
"Lenox Hill Hospital","New York","New York","Private","3","Above","Below","Above","Below","Same","Same","Same","26758","Average","Higher","18769","Better","Higher","18473","Better","Higher","21502","Average","Average"
"Rochester General Hospital","Rochester","New York","Private","2","Above","Below","Below","Below","Same","Below","Same","24514","Average","Average","16092","Average","Average","17005","Better","Average","21515","Average","Average"
"Orange Regional Medical Center","Middletown","New York","Private","3","Above","Above","Below","Same","Same","Below","Above","26417","Better","Higher","19639","Average","Higher","19019","Average","Higher","24820","Average","Higher"
"Jacobi Medical Center","Bronx","New York","Government","1","Same","Below","Below","Below","Below","Below","Same","25175","Average","Average","15288","Average","Average","17094","Average","Average","0","Unknown","Unknown"
"Elmhurst Hospital Center","Elmhurst","New York","Government","1","Same","Below","Below","Below","Same","Below","None","22796","Average","Average","15946","Average","Average","16227","Average","Average","0","Unknown","Unknown"
"Tlc Network","Irving","New York","Private","2","Same","None","Same","None","Same","Same","Same","0","Unknown","Unknown","16844","Average","Average","14170","Average","Lower","0","Unknown","Unknown"
"Bon Secours Community Hospital","Port Jervis","New York","Church","4","Same","Above","Above","Same","Same","Above","Same","24134","Average","Average","15641","Average","Average","18404","Average","Average","22167","Average","Average"
"Mary Imogene Bassett Hospital","Cooperstown","New York","Private","1","Same","Below","Below","Below","Same","Same","Same","23597","Average","Average","15542","Average","Average","16521","Average","Average","21123","Average","Average"
"St Joseph's Hospital Health Center","Syracuse","New York","Private","2","Above","Below","Below","Same","Same","Below","Above","22759","Better","Average","15815","Average","Lower","16006","Average","Lower","19857","Average","Lower"
"Long Island Community Hospital","Patchogue","New York","Private","1","Above","Below","Below","Below","Same","Below","Same","25742","Average","Higher","17857","Average","Higher","19363","Average","Higher","26015","Average","Higher"
"Ira Davenport Memorial Hospital, Inc","Bath","New York","Unknown","3","Same","None","Same","None","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","15059","Average","Lower","0","Unknown","Unknown"
"St James Mercy Hospital","Hornell","New York","Church","3","Same","None","Above","Below","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","14602","Average","Lower","0","Unknown","Unknown"
"Ellis Hospital","Schenectady","New York","Proprietary","2","Same","Below","Above","Below","Same","Below","Above","20315","Average","Lower","16062","Average","Average","17350","Average","Average","20296","Average","Lower"
"Samaritan Medical Center","Watertown","New York","Private","3","Same","Above","Above","Below","Same","Below","Below","21645","Average","Average","14482","Average","Lower","15379","Average","Lower","20531","Average","Lower"
"Good Samaritan Hospital Of Suffern","Suffern","New York","Church","1","Same","Below","Below","Below","Same","Below","Same","26518","Average","Higher","20394","Average","Higher","20310","Average","Higher","20891","Average","Lower"
"Staten Island University Hospital","Staten Island","New York","Private","1","Same","Below","Below","Below","Same","Below","Above","23739","Average","Average","17021","Average","Average","17452","Average","Average","30122","Average","Higher"
"Northern Westchester Hospital","Mount Kisco","New York","Private","3","Above","Below","Below","Above","Same","Same","Same","24462","Average","Average","17339","Average","Average","16832","Average","Average","22444","Average","Average"
"Eastern Niagara Hospital","Lockport","New York","Private","1","Below","Below","Below","Below","Same","Same","Same","23618","Average","Average","14992","Worse","Lower","15112","Average","Lower","0","Unknown","Unknown"
"Highland Hospital","Rochester","New York","Private","3","Same","Below","Same","Same","Same","Below","Same","22581","Average","Average","14560","Average","Lower","14648","Average","Lower","21093","Average","Lower"
"Westfield Memorial Hospital, Inc","Westfield","New York","Private","-1","None","None","None","None","Below","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Nyu Winthrop Hospital","Mineola","New York","Private","3","Above","Below","Below","Below","Same","Below","Above","22644","Average","Average","18526","Better","Higher","16671","Better","Lower","22845","Average","Higher"
"Mount Sinai Beth Israel","New York","New York","Private","2","Above","Below","Below","Below","Same","Below","Same","23532","Better","Average","17259","Better","Average","17678","Better","Average","27312","Average","Higher"
"Cortland Regional Medical Center, Inc","Cortland","New York","Private","3","Above","Below","Below","Below","Same","Below","Same","23301","Average","Average","15263","Better","Average","15508","Better","Lower","20330","Average","Average"
"Samaritan Hospital","Troy","New York","Private","1","Same","Below","Above","Below","Same","Below","Same","23394","Average","Average","16928","Average","Average","17288","Average","Average","22130","Average","Average"
"Glen Cove Hospital","Glen Cove","New York","Private","2","Same","Above","Below","Below","Same","Below","Same","23315","Average","Average","18859","Average","Higher","19038","Average","Higher","0","Unknown","Unknown"
"St Francis Hospital, Roslyn","Roslyn","New York","Church","4","Above","Below","Same","Above","Same","Below","Above","27144","Average","Higher","19227","Better","Higher","16576","Better","Lower","24369","Average","Higher"
"Montefiore New Rochelle Hospital","New Rochelle","New York","Private","2","Same","Same","Below","Below","Same","Below","Same","25876","Average","Average","17651","Average","Average","19762","Average","Higher","22620","Average","Average"
"John T Mather Memorial Hospital  Of Port Jefferson","Port Jefferson","New York","Private","3","Above","Same","Below","Above","Same","Below","Above","25447","Average","Average","17411","Better","Average","16146","Better","Lower","21913","Average","Average"
"Mount St Mary's Hospital And  Health Center","Lewiston","New York","Church","3","Same","Same","Below","Same","Same","Same","Same","22500","Average","Average","15742","Average","Average","16436","Average","Average","22390","Average","Average"
"Glens Falls Hospital","Glens Falls","New York","Private","3","Below","Above","Above","Same","Same","Below","Above","21365","Average","Lower","15385","Worse","Lower","15864","Worse","Lower","22378","Average","Average"
"Flushing Hospital Medical Center","Flushing","New York","Private","1","Same","Below","Below","Below","Same","Below","None","25556","Average","Average","18531","Average","Higher","19706","Worse","Higher","29863","Average","Higher"
"Maimonides Medical Center","Brooklyn","New York","Private","1","Above","Below","Below","Below","Same","Below","Above","23004","Better","Average","18102","Better","Higher","19535","Better","Higher","29983","Average","Higher"
"Long Island Jewish Medical Center","New Hyde Park","New York","Private","2","Above","Below","Below","Below","Below","Below","Above","22430","Average","Average","17611","Better","Higher","17884","Average","Average","23095","Average","Higher"
"Coney Island Hospital","Brooklyn","New York","Government","1","Same","Below","Below","Below","Below","Below","None","24605","Average","Average","16628","Better","Average","18095","Average","Average","0","Unknown","Unknown"
"Canton-potsdam Hospital","Potsdam","New York","Private","3","Above","Above","Below","Same","Below","Below","Same","21729","Average","Average","14131","Average","Lower","14032","Average","Lower","19218","Average","Lower"
"South Nassau Communities Hospital","Oceanside","New York","Private","2","Same","Above","Below","Below","Same","Below","Above","23938","Average","Average","18182","Average","Higher","18177","Average","Higher","22063","Average","Average"
"Metropolitan Hospital Center","New York","New York","Government","2","Same","Below","Below","Below","Same","Below","None","22024","Average","Average","0","Unknown","Unknown","16714","Average","Average","0","Unknown","Unknown"
"Kingsbrook Jewish Medical Center","Brooklyn","New York","Private","1","Above","Below","Below","Below","Same","Below","None","25553","Average","Average","19508","Average","Higher","19321","Average","Higher","0","Unknown","Unknown"
"Kings County Hospital Center","Brooklyn","New York","Government","1","Same","Below","Below","Below","Below","Below","None","19585","Average","Lower","13717","Average","Lower","16088","Average","Average","0","Unknown","Unknown"
"Crouse Hospital","Syracuse","New York","Private","2","Same","Same","Below","Below","Same","Below","Same","20361","Average","Lower","15246","Average","Lower","16506","Average","Lower","20839","Average","Lower"
"Bellevue Hospital Center","New York","New York","Government","1","Same","Below","Below","Below","Same","Below","None","21469","Average","Average","13813","Average","Lower","13832","Average","Lower","0","Unknown","Unknown"
"St Anthony Community Hospital","Warwick","New York","Church","2","Same","Below","Below","Above","Same","Above","None","25360","Average","Average","18608","Average","Higher","19451","Average","Higher","23089","Average","Average"
"St John's Riverside Hospital","Yonkers","New York","Private","2","Above","Same","Below","Same","Same","Below","Below","24577","Average","Average","17655","Average","Higher","18956","Average","Higher","23224","Average","Average"
"Claxton-hepburn Medical Center","Ogdensburg","New York","Private","3","Same","Above","Below","Same","Same","Same","Same","22872","Average","Average","15551","Average","Average","14543","Average","Lower","20560","Average","Average"
"Nyu Langone Hospitals","New York","New York","Private","4","Above","Below","Below","Below","Above","Below","Above","24995","Average","Average","18700","Better","Higher","18862","Better","Higher","21361","Average","Lower"
"Rome Memorial Hospital, Inc","Rome","New York","Private","3","Same","None","Same","Below","Same","Same","Same","24753","Average","Average","15051","Average","Lower","17378","Average","Average","0","Unknown","Unknown"
"Oswego Hospital","Oswego","New York","Private","3","Same","Same","Above","Same","Same","Below","Same","23391","Average","Average","16623","Average","Average","18689","Average","Higher","0","Unknown","Unknown"
"Erie County Medical Center","Buffalo","New York","Private","2","Same","Above","Same","Below","Below","Below","Same","0","Unknown","Unknown","14474","Average","Lower","17209","Average","Average","21845","Average","Average"
"Wyckoff Heights Medical Center","Brooklyn","New York","Private","1","Same","Below","Below","Below","Same","Below","None","24593","Average","Average","16592","Average","Average","19056","Average","Higher","0","Unknown","Unknown"
"Saratoga Hospital","Saratoga Springs","New York","Private","4","Same","Above","Above","Above","Above","Below","Above","22895","Average","Average","15546","Average","Average","16180","Average","Lower","19437","Average","Lower"
"Massena Memorial Hospital","Massena","New York","Government","2","Same","None","Below","Below","Same","Same","Same","21799","Average","Average","14765","Average","Lower","16013","Average","Lower","0","Unknown","Unknown"
"Healthalliance Hospital Marys Avenue Campus","Kingston","New York","Church","-1","None","Above","None","Same","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","18627","Average","Lower"
"Unity Hospital Of Rochester","Rochester","New York","Private","2","Same","Same","Below","Same","Same","Below","Above","22359","Average","Average","16278","Average","Average","16292","Average","Lower","20571","Average","Lower"
"Brooks Memorial Hospital","Dunkirk","New York","Private","2","Same","Same","Same","Below","Same","Same","None","0","Unknown","Unknown","16619","Average","Average","16022","Average","Average","22970","Average","Average"
"Queens Hospital Center","Jamaica","New York","Government","1","Same","Same","Below","Below","Same","Below","Same","22812","Average","Average","15228","Average","Average","16217","Average","Average","0","Unknown","Unknown"
"St Mary's Hospital ( Troy )","Troy","New York","Private","3","Same","None","Same","None","Same","Same","None","22060","Average","Average","15889","Average","Average","16642","Average","Average","0","Unknown","Unknown"
"Brookdale Hospital Medical Center","Brooklyn","New York","Private","1","Same","Below","Below","Below","Below","Below","Same","23588","Average","Average","16445","Average","Average","17851","Average","Average","0","Unknown","Unknown"
"Westchester Medical Center","Valhalla","New York","Government","1","Same","Below","Below","Below","Same","Below","Below","26233","Average","Higher","21894","Average","Higher","19615","Average","Higher","23985","Average","Higher"
"Auburn  Community  Hospital","Auburn","New York","Private","1","Same","Above","Below","Below","Same","Below","Below","22024","Average","Average","15409","Average","Lower","15540","Average","Lower","23472","Average","Average"
"New York-presbyterian Brooklyn Methodist Hospital","Brooklyn","New York","Private","3","Above","Above","Below","Below","Same","Below","Same","22548","Average","Average","17488","Better","Higher","18302","Better","Higher","28939","Average","Higher"
"Nicholas H Noyes Memorial Hospital","Dansville","New York","Private","2","Same","Below","Below","Same","Same","Same","Below","0","Unknown","Unknown","15432","Average","Average","13119","Average","Lower","20110","Average","Average"
"Upmc Chautauqua Wca","Jamestown","New York","Private","2","Same","Above","Above","Below","Below","Below","Below","21425","Average","Average","16198","Average","Average","16993","Average","Average","25164","Average","Higher"
"Harlem Hospital Center","New York","New York","Government","1","Same","Same","Below","Below","Same","Below","None","0","Unknown","Unknown","15820","Average","Average","18762","Average","Average","0","Unknown","Unknown"
"University Hospital S U N Y Health Science Center","Syracuse","New York","Government","2","Same","Below","Same","Below","Same","Below","Below","22839","Average","Average","16407","Average","Average","17081","Average","Average","21968","Average","Average"
"St Elizabeth Medical Center","Utica","New York","Private","1","Same","Below","Above","Below","Below","Below","Same","23744","Average","Average","15224","Average","Lower","14881","Average","Lower","18793","Better","Lower"
"St Charles Hospital","Port Jefferson","New York","Private","3","Same","Below","Below","Above","Same","Below","Same","22223","Average","Average","18518","Average","Average","17180","Average","Average","22684","Average","Higher"
"Champlain Valley Physicians Hospital Medical Ctr","Plattsburgh","New York","Private","3","Above","Same","Below","Same","Same","Below","Above","20370","Average","Lower","14956","Average","Lower","14805","Average","Lower","21082","Average","Average"
"Mercy Medical Center","Rockville Centre","New York","Private","1","Same","Below","Below","Below","Same","Below","Above","26407","Average","Higher","18842","Average","Higher","18901","Average","Higher","27685","Average","Higher"
"Phelps Memorial Hospital Assn","Sleepy Hollow","New York","Unknown","4","Same","Above","Same","Same","Same","Below","Same","24352","Average","Average","17942","Average","Average","17717","Average","Average","21421","Average","Average"
"St Luke's Cornwall Hospital","Newburgh","New York","Unknown","2","Same","Same","Below","Below","Above","Below","Same","23787","Average","Average","17564","Average","Average","18782","Average","Higher","21732","Worse","Average"
"Clifton Springs Hospital And Clinic","Clifton Springs","New York","Private","2","Same","None","Same","Same","Same","Same","None","0","Unknown","Unknown","13930","Average","Lower","14770","Average","Lower","0","Unknown","Unknown"
"New York-presbyterian/hudson Valley Hospital","Cortlandt Manor","New York","Private","3","Same","Above","Below","Above","Same","Below","Same","25173","Average","Average","18108","Average","Higher","18436","Average","Higher","22976","Average","Higher"
"Cobleskill Regional Hospital","Cobleskill","New York","Private","4","Same","None","Same","None","Same","Above","Same","0","Unknown","Unknown","16130","Average","Average","14182","Average","Lower","0","Unknown","Unknown"
"Hospital For Special Surgery","New York","New York","Private","5","None","Above","None","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","22090","Better","Average"
"Putnam Hospital Center","Carmel","New York","Private","2","Same","Below","Below","Above","Same","Above","Same","25019","Average","Average","18820","Average","Higher","17051","Average","Average","22761","Average","Higher"
"Nathan Littauer Hospital","Gloversville","New York","Private","4","Same","Same","Above","Below","Same","Same","None","0","Unknown","Unknown","15838","Average","Average","15182","Average","Lower","24965","Average","Higher"
"Corning Hospital","Corning","New York","Private","4","Same","Above","Same","Same","Same","Same","Same","23287","Average","Average","15034","Average","Lower","17012","Average","Average","20920","Average","Average"
"Mercy Hospital Of Buffalo","Buffalo","New York","Private","1","Below","Below","Above","Below","Same","Below","Above","23033","Average","Average","16657","Worse","Average","18987","Worse","Higher","21038","Average","Average"
"Strong Memorial Hospital","Rochester","New York","Private","2","Same","Below","Below","Same","Below","Below","Below","23020","Average","Average","15983","Average","Average","17197","Average","Average","0","Unknown","Unknown"
"Good Samaritan Hospital Medical Center","West Islip","New York","Church","1","Same","Below","Below","Below","Same","Below","Above","25150","Average","Average","18967","Average","Higher","17458","Average","Average","25359","Average","Higher"
"White Plains Hospital Center","White Plains","New York","Private","3","Same","Below","Below","Above","Same","Same","Same","26150","Average","Higher","20255","Average","Higher","19182","Average","Higher","24898","Average","Higher"
"Cayuga Medical Center At Ithaca","Ithaca","New York","Private","2","Below","Above","Same","Same","Same","Below","Above","22140","Average","Average","14275","Worse","Lower","15770","Average","Lower","21008","Average","Average"
"Plainview Hospital","Plainview","New York","Private","3","Above","Below","Above","Below","Same","Below","Above","26647","Average","Higher","18994","Better","Higher","18332","Average","Higher","24241","Average","Higher"
"St Joseph Hospital","Bethpage","New York","Private","1","Same","Below","Below","Below","Same","Below","Above","27141","Average","Higher","18868","Average","Higher","19093","Average","Higher","22937","Average","Average"
"University Hospital Of Brooklyn ( Downstate )","Brooklyn","New York","Government","1","Same","Below","Below","Below","Same","Below","Same","22874","Average","Average","16371","Average","Average","16996","Average","Average","0","Unknown","Unknown"
"North Central Bronx Hospital","Bronx","New York","Government","1","None","Same","Below","Below","Below","Below","None","0","Unknown","Unknown","0","Unknown","Unknown","16806","Average","Average","0","Unknown","Unknown"
"Catskill Regional Medical Center","Harris","New York","Private","2","Same","Below","Below","Below","Same","Below","Same","24770","Average","Average","17550","Average","Average","17802","Average","Average","0","Unknown","Unknown"
"Rockefeller University Hospital","New York","New York","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"University Hospital At Stony Brook","Stony Brook","New York","Government","3","Above","Same","Below","Below","Same","Below","Same","24213","Better","Average","17722","Better","Higher","17807","Better","Average","21880","Average","Average"
"United Health Services Hospitals, Inc","Binghamton","New York","Private","1","Below","Below","Above","Below","Same","Below","Same","20369","Average","Lower","13830","Worse","Lower","14749","Average","Lower","19686","Average","Lower"
"St John's Episcopal Hospital At South Shore","Far Rockaway","New York","Church","1","Below","Below","Below","Below","Same","Below","None","24851","Average","Average","16698","Average","Average","20438","Worse","Higher","0","Unknown","Unknown"
"Woodhull Medical And Mental Health Center","Brooklyn","New York","Government","1","Same","Same","Below","Below","Same","Below","None","0","Unknown","Unknown","14571","Average","Lower","15867","Average","Average","0","Unknown","Unknown"
"Interfaith Medical Center","Brooklyn","New York","Private","1","Same","Below","Below","Below","Same","Below","None","22907","Average","Average","17342","Average","Average","19631","Average","Average","0","Unknown","Unknown"
"St Barnabas Hospital","Bronx","New York","Private","1","Same","Below","Below","Below","Below","Below","None","0","Unknown","Unknown","15407","Average","Average","15866","Average","Average","0","Unknown","Unknown"
"St Catherine Of Siena Hospital","Smithtown","New York","Private","2","Same","Below","Below","Below","Same","Below","Above","25460","Average","Average","18201","Average","Higher","17882","Average","Average","25902","Average","Higher"
"Monroe Community Hospital","Rochester","New York","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Helen Hayes Hospital","West Haverstraw","New York","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Sunnyview Hospital And Rehabilitation Center","Schenectady","New York","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Tri-town Regional Healthcare","Sidney","New York","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Burdett Care Center","Troy","New York","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Cuba Memorial Hospital, Inc","Cuba","New York","Private","-1","None","None","None","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Elizabethtown Community Hospital","Elizabethtown","New York","Private","2","Same","None","Below","None","Same","Same","Same","0","Unknown","Unknown","18073","Average","Average","17313","Average","Average","0","Unknown","Unknown"
"Catskill Regional Medical Center - G Hermann Site","Callicoon","New York","Government","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Margaretville Memorial Hospital","Margaretville","New York","Private","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","18170","Average","Average","0","Unknown","Unknown"
"O'connor Hospital","Delhi","New York","Private","4","Same","None","Same","None","Same","Above","None","0","Unknown","Unknown","16878","Average","Average","16223","Average","Average","0","Unknown","Unknown"
"Clifton Fine Hospital","Star Lake","New York","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"River Hospital, Inc","Alexandria Bay","New York","Private","-1","None","None","None","None","Same","Below","Same","0","Unknown","Unknown","0","Unknown","Unknown","18360","Average","Average","0","Unknown","Unknown"
"Ellenville Regional Hospital","Ellenville","New York","Private","3","None","None","Same","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","18311","Average","Average","0","Unknown","Unknown"
"Little Falls Hospital","Little Falls","New York","Private","4","Same","None","Same","Above","Same","Same","None","0","Unknown","Unknown","15484","Average","Average","19008","Average","Average","0","Unknown","Unknown"
"Delaware Valley Hospital, Inc","Walton","New York","Private","4","Same","None","Same","None","Same","Above","None","0","Unknown","Unknown","15530","Average","Average","16818","Average","Average","0","Unknown","Unknown"
"Schuyler Hospital, Inc","Montour Falls","New York","Private","-1","None","None","Above","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","15211","Average","Lower","0","Unknown","Unknown"
"Soldiers And Sailors Memorial Hospital Of Yates","Penn Yan","New York","Unknown","3","Same","None","Same","Same","Same","Above","None","0","Unknown","Unknown","14566","Average","Average","16745","Average","Average","0","Unknown","Unknown"
"Gouverneur Hospital","Gouverneur","New York","Private","2","Same","None","Same","Same","None","None","None","0","Unknown","Unknown","15763","Average","Average","15907","Average","Average","0","Unknown","Unknown"
"Community Memorial Hospital, Inc","Hamilton","New York","Private","4","Same","None","Same","Above","Same","Same","Same","0","Unknown","Unknown","17792","Average","Average","18361","Average","Average","19000","Average","Lower"
"Lewis County General Hospital","Lowville","New York","Unknown","3","Same","None","Same","Above","Same","Same","None","0","Unknown","Unknown","15882","Average","Average","13713","Average","Lower","0","Unknown","Unknown"
"Carthage Area Hospital, Inc","Carthage","New York","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Medina Memorial Hospital","Medina","New York","Private","-1","Same","None","Same","None","None","None","None","23686","Average","Average","15108","Average","Average","17438","Average","Average","0","Unknown","Unknown"
"Blythedale Children's Hospital","Valhalla","New York","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Carolinas Healthcare System Northeast","Concord","North Carolina","Government","2","Below","Below","Above","Same","Same","Below","Above","21365","Average","Lower","15995","Average","Average","18190","Average","Higher","22688","Average","Higher"
"Memorial Mission Hospital And Asheville Surgery Ce","Asheville","North Carolina","Private","5","Same","Above","Above","Above","Same","Same","Above","22314","Better","Lower","16738","Average","Average","17591","Worse","Average","21380","Better","Lower"
"Northern Hospital Of Surry County","Mount Airy","North Carolina","Government","4","Same","Above","Above","Same","Above","Same","Same","23323","Average","Average","16483","Average","Average","15890","Average","Lower","21086","Average","Average"
"High Point Regional Hospital","High Point","North Carolina","Private","2","Same","Same","Below","Below","Same","Below","Above","22643","Average","Average","15553","Average","Lower","17947","Worse","Average","22685","Average","Average"
"Scotland Memorial Hospital","Laurinburg","North Carolina","Private","3","Same","Above","Above","Same","Same","Below","Above","24471","Average","Average","13391","Average","Lower","16488","Average","Average","18607","Average","Lower"
"Wayne Memorial Hospital","Goldsboro","North Carolina","Private","2","Same","Below","Below","Below","Same","Below","Same","22002","Average","Average","15193","Average","Lower","17336","Average","Average","22569","Average","Average"
"Rutherford Regional Medical Center","Rutherfordton","North Carolina","Proprietary","3","Same","Same","Above","Below","Same","Same","Same","23957","Average","Average","14908","Average","Lower","16683","Average","Average","23309","Average","Average"
"Novant Health Forsyth Medical Center","Winston-salem","North Carolina","Private","3","Below","Below","Above","Same","Same","Same","Same","21494","Average","Lower","15462","Average","Lower","16213","Average","Lower","19974","Better","Lower"
"Novant Health Rowan Medical Center","Salisbury","North Carolina","Private","1","Below","Below","Below","Below","Same","Above","Same","19947","Average","Lower","15684","Average","Average","17450","Worse","Average","22494","Average","Average"
"Harris Regional Hospital","Sylva","North Carolina","Proprietary","1","Same","Below","Below","Below","Same","Above","Below","22784","Average","Average","15660","Average","Average","16084","Average","Lower","24917","Average","Higher"
"Margaret R Pardee Memorial Hospital","Hendersonville","North Carolina","Government","3","Same","Below","Above","Above","Same","Same","Below","24023","Average","Average","16819","Average","Average","17960","Average","Average","21068","Average","Lower"
"Central Carolina Hospital","Sanford","North Carolina","Private","2","Same","Same","Below","Same","Same","Below","Above","25536","Average","Average","15733","Average","Average","15528","Average","Lower","23852","Average","Average"
"Carolinas Healthcare System Cleveland","Shelby","North Carolina","Government","3","Below","Below","Above","Same","Same","Same","Same","24418","Average","Average","15963","Worse","Average","19557","Worse","Higher","18938","Average","Lower"
"Park Ridge Health","Hendersonville","North Carolina","Private","4","Same","Above","Above","Above","Below","Same","Same","23803","Average","Average","16817","Average","Average","19744","Average","Higher","22200","Average","Average"
